,Before (test_4),After (test_5)
81,roasted and unsalted shelled pistachios,roasted and unsalted shelled pistachios
82,baking powder,baking powder
83,baking soda,soda
84,sea salt,salt
85,milk,milk
86,eggs,eggs
87,coconut oil,coconut oil
88,honey,honey
89,chocolate chips,chocolate
90,fully cooked bone-in ham pounds),ham
91,,
92,brown sugar,brown sugar
93,spicy brown mustard,mustard
94,dr pepper or coke,dr pepper
95,apple cider vinegar,vinegar
96,sugar,sugar
97,water,water
98,juice of orange,orange
99,zest of orange,orange
100,vanilla beans,vanilla
101,strawberries,strawberries
102,blueberries,blueberries
103,red grapes,grapes
104,green grapes,grapes
105,mint leaves,mint
106,tart dough,tart dough
107,all-purpose flour,all-purpose flour
108,salt,salt
109,sugar,sugar
110,tbsp) cold butter,butter
111,large egg yolk,egg
112,heavy cream,cream
113,vanilla,vanilla
114,chocolate bottom,chocolate
115,heavy cream,cream
116,bittersweet chocolate,chocolate
117,pumpkin filling,pumpkin
118,canned pumpkin pur’e,pumpkin
119,granulated sugar,sugar
120,ground cinnamon,cinnamon
121,ground allspice,allspice
122,ground,ground
123,ground nutmeg,nutmeg
124,heavy cream,cream
125,large eggs,eggs
126,cornstarch,cornstarch
127,bittersweet chocolate,chocolate
128,milk,milk
129,unsalted butter,butter
130,unbleached all-purpose flour,all-purpose flour
131,fine grain sea salt,salt
132,baking powder,baking powder
133,raw,raw
134,toasted sesame seeds,sesame seeds
135,toasted sunflower seeds,sunflower seeds
136,large eggs,eggs
137,″ tortillas (i used sprouted grain tortillas from wf),tortillas
138,olive oil,olive oil
139,garlic,garlic
140,cheese,cheese
141,black beans,black beans
142,spinach,spinach
143,juice from lime,juice
144,cilantro,cilantro
145,a few of hot sauce,sauce
146,hard boiled eggs,eggs
147,mayonnaise,mayonnaise
148,grainy dijon mustard,dijon mustard
149,salt and pepper,pepper
150,several worcestershire sauce,worcestershire sauce
151,leftover baked ham,ham
152,kaiser rolls or other bread,bread
153,extra mayonnaise and dijon,mayonnaise
154,swiss cheese or other cheese slices,cheese
155,thinly sliced red onion,red onion
156,avocado slices,avocado
157,sliced tomatoes,tomatoes
158,lettuce,lettuce
159,olive oil or clarified butter,clarified butter
160,of kale,of kale
161,cooked brown rice,brown rice
162,to serve,to serve
163,- capers,- capers
164,- a poached egg,egg
165,- a of salted greek yogurt,yogurt
166,- a big of good extra-virgin olive oil,olive oil
167,- lot's of za'atar,- lot's of za'atar
168,- toasted sesame seeds,sesame seeds
169,masa harina,masa harina
170,baking powder,baking powder
171,sea salt,salt
172,mexican oregano,oregano
173,warm water,water
174,melted coconut oil,coconut oil
175,olive oil,olive oil
176,medium red onion,red onion
177,large sweet potato,sweet potato
178,chipotle peppers in adobo sauce,chipotle
179,adobo sauce,sauce
180,juice from one lime,juice
181,black beans,black beans
182,salt,salt
183,spinach,spinach
184,cilantro,cilantro
185,corn husk,corn
186,sauce,sauce
187,olive oil,olive oil
188,garlic,garlic
189,tomato sauce,tomato sauce
190,chipotle peppers in adobo sauce,chipotle
191,adobo sauce,sauce
192,salt,salt
193,cilantro,cilantro
194,of butter,butter
195,of cinnamon raisin bread,cinnamon
196,eggs beaten,eggs
197,½ of international delight cinnabon,½ of international delight cinnabon
198,small russet potatoes,potatoes
199,canola oil,canola oil
200,butter,butter
201,kosher salt,salt
202,jarred marinara or pizza sauce,marinara
203,grated mozzarella cheese,mozzarella
204,diced pepperoni,diced pepperoni
205,minced fresh parsley,parsley
206,miscellaneous pizza toppings,pizza
207,unsalted butter,butter
208,sugar,sugar
209,all purpose flour,flour
210,cornstarch,cornstarch
211,baking powder,baking powder
212,salt,salt
213,egg,egg
214,egg yolk,egg
215,vanilla extract,vanilla
216,filling,filling
217,store bought dulce de leche or here is a recipe for making your own,store bought dulce de leche or here is a recipe for making your own
218,other easier options are just to use nutella or biscotti,nutella
219,powdered sugar for dusting,sugar
220,thick slice country bread,bread
221,aged red vine vinegar,vinegar
222,garlic,garlic
223,fine grain sea salt,salt
224,marjoram leaves,marjoram
225,capers,capers
226,pine nuts or walnuts,pine nuts
227,finely chopped parsley,parsley
228,pitted green olives,olives
229,olive oil,olive oil
230,head green cabbage,cabbage
231,carrots,carrots
232,green onions,onions
233,juice from large lime,juice
234,cilantro,cilantro
235,rice paper wrappers,rice
236,heavy cream,cream
237,kahlua,kahlua
238,egg &amp egg yolk,egg
239,semi sweet chocolate chips,chocolate
240,celery stalks,celery
241,chickpeas (equivalent -ounce can),chickpeas (equivalent -ounce can)
242,arugula or shredded romaine lettuce,lettuce
243,toasted pepitas or almonds,almonds
244,black olives,olives
245,small red onion,red onion
246,small head of broccoli florets,broccoli
247,creamy miso dressing,dressing
248,medium garlic,garlic
249,white miso,miso
250,mirin,mirin
251,brown rice vinegar,brown rice
252,big of ground cumin,cumin
253,plain yogurt,yogurt
254,heavy cream,cream
255,small ripe avocado,avocado
256,coconut oil,coconut oil
257,shallot,shallot
258,garlic cloves,cloves
259,chopped kale,chopped kale
260,dry white wine (,white wine
261,nonfat greek yogurt,yogurt
262,fat free sour cream,sour cream
263,grated parmesan,parmesan
264,chopped (canned) artichoke hearts,artichoke
265,diced water chestnuts,water chestnuts
266,green onion,green
267,lemon,lemon
268,dry mustard,mustard
269,crushed red pepper flakes,red pepper
270,cumin,cumin
271,ground ginger,ginger
272,salt and pepper to taste,pepper
273,eggs,eggs
274,good-quality dark chocolate,chocolate
275,water,water
276,fine grain sugar,sugar
277,unsalted butter,butter
278,fine grain sea salt,salt
279,to top,to top
280,large beets,large beets
281,olive oil,olive oil
282,salt,salt
283,blue cheese crumbles,cheese
284,olive oil,olive oil
285,honey,honey
286,lemon juice,lemon juice
287,orzo,orzo
288,lettuce,lettuce
289,walnuts,walnuts
290,crust,crust
291,of melted butter,butter
292,oz) of girl scout cookies trefils (traditional shortbread cookies),shortbread
293,filling,filling
294,oz) of girl scout cookies samoas (chewy and rich),oz) of girl scout cookies samoas (chewy and rich)
295,of semi sweet chocolate chips,chocolate
296,of unsweetened shredded coconut,coconut
297,of caramel sauce (recipe below),caramel
298,sweet potato,sweet potato
299,olive oil,olive oil
300,cumin,cumin
301,salt and pepper,pepper
302,corn,corn
303,frozen spinach,spinach
304,of black beans,of black beans
305,jar of salsa jar),salsa
306,of pepper jack cheese,pepper
307,of wheat tortillas ),tortillas
308,refried beans,refried beans
309,cumin (optional),cumin
310,salt and pepper,pepper
311,flour tortillas,tortillas
312,cheese,cheese
313,jar of salsa (using a jar),salsa
314,wheat pastry flour,pastry
315,unbleached all-purpose flour,all-purpose flour
316,firmly packed brown sugar,brown sugar
317,fine grain sea salt,salt
318,baking soda,soda
319,baking powder,baking powder
320,mashed,mashed
321,buttermilk,buttermilk
322,large eggs,eggs
323,vanilla extract,vanilla
324,unsalted butter,butter
325,berries,berries
326,rose cinnamon sugar,cinnamon
327,lb asparagus,asparagus
328,green onions,onions
329,olive oil,olive oil
330,large eggs,eggs
331,milk,milk
332,sea salt,salt
333,black pepper,black pepper
334,crumbled blue cheese,cheese
335,blue cheese for topping,cheese
336,greens from green onions,onions
337,vodka,vodka
338,kahlua,kahlua
339,international delight french vanilla creamer (or you use milk or and half),vanilla
340,small head of cauliflower,cauliflower
341,basil,basil
342,oregano,oregano
343,parsley,parsley
344,salt,salt
345,manchengo sheep milk cheese (or mozzarella),mozzarella
346,eggs,eggs
347,cornmeal,cornmeal
348,jar marinara or pizza sauce,marinara
349,sheep milk cheese,cheese
350,basil leaves,basil
351,medium sweet potato,sweet potato
352,medium onion,onion
353,greek yogurt (or cup heavy cream),yogurt
354,,
355,,
356,juice from lemon,juice
357,olive oil,olive oil
358,minced parsley,parsley
359,goat cheese,cheese
360,chickpeas,chickpeas
361,spinach,spinach
362,oats (not instant),oats (not instant)
363,milk,milk
364,plain yogurt,yogurt
365,honey (optional),honey
366,chopped raspberries,raspberries
367,chopped strawberries,strawberries
368,additional berries for topping,berries
369,cups) blanched almonds,almonds
370,large eggs,eggs
371,superfine sugar,sugar
372,grated zest of orange,orange
373,grated zest of lemon,lemon
374,drops almond extract,almond
375,confectioners’ sugar for dusting,sugar
376,40ml parts) irish whiskey,40ml parts) irish whiskey
377,80ml parts) cold coffee or international delight light iced coffee,coffee
378,30ml parts) fresh cream,cream
379,brown sugar or honey (if using international delight eliminate the sugar/honey),brown sugar
380,scallions,scallions
381,medium shallots,shallots
382,grated,grated
383,scant fine grain sea salt,salt
384,good sunflower or olive oil,olive oil
385,extra-firm tofu,tofu
386,dried soba noodles,noodles
387,radish,radish
388,toasted pine nuts,pine nuts
389,of chives,chives
390,potatoes,potatoes
391,olive oil,olive oil
392,seasoning or hidden valley ranch seasoning,seasoning or hidden valley ranch seasoning
393,almonds,almonds
394,cashews,cashews
395,unsweetened shredded coconut,coconut
396,medjool dates,dates
397,honey,honey
398,coconut oil,coconut oil
399,salt,salt
400,plain full-fat yogurt,yogurt
401,fine grain sea salt,salt
402,french toast,toast
403,butter,butter
404,crusty sourdough or french bread,sourdough
405,eggs,eggs
406,milk,milk
407,heavy cream,cream
408,sugar,sugar
409,brown sugar,brown sugar
410,vanilla extract,vanilla
411,topping,topping
412,flour,flour
413,firmly packed brown sugar,brown sugar
414,cinnamon,cinnamon
415,salt,salt
416,freshly grated nutmeg,nutmeg
417,cold butter,butter
418,warm syrup,syrup
419,butter,butter
420,fresh blueberries,blueberries
421,zucchini (medium sized),zucchini (medium sized)
422,olive oil,olive oil
423,kosher salt,salt
424,black pepper,black pepper
425,lemons,lemons
426,kosher salt (additional),salt
427,extra olive oil if needed for brushing,olive oil
428,hotel butter,butter
429,salted butter,butter
430,finely minced parsley,parsley
431,lemon,lemon
432,optional,optional
433,steaks,steaks
434,steaks (ribeye,steaks (ribeye
435,salt and pepper,pepper
436,butter,butter
437,milk,milk
438,-ounce envelope active dry yeast,yeast
439,sugar,sugar
440,all-purpose flour plus more for surface and hands,all-purpose flour
441,kosher salt plus more,salt
442,small onion,onion
443,whole-milk yogurt (not greek),yogurt
444,melted ghee (clarified butter) or vegetable oil plus more,clarified butter
445,graham cracker squares (two single rectangular pieces still stuck together),graham cracker squares (two single rectangular pieces still stuck together)
446,container ounce) marshmallow creme,marshmallow
447,chocolate almond barn or other melting chocolate,chocolate
448,chopped nuts,chopped nuts
449,limes,limes
450,coarse sugar (decorator's sugar),sugar
451,jars ounce) mango chunks,mango
452,tequila,tequila
453,triple sec,triple sec
454,sugar,sugar
455,olive oil,olive oil
456,chuck roasts to each),chuck roasts to each)
457,salt and pepper,pepper
458,ounces,ounces
459,crushed tomatoes,tomatoes
460,jar ounce) pepperoncinis,jar ounce) pepperoncinis
461,jar ounce) hot cherry peppers,peppers
462,jars each) pimentos,jars each) pimentos
463,buttered,buttered
464,provolone or mozzarella cheese,mozzarella
465,-ounce beef filet steaks inches thick (or any small/petite steak),steak
466,cajun seasoning,cajun seasoning
467,butter,butter
468,olive oil,olive oil
469,jumbo shrimp,jumbo shrimp
470,small red onion,red onion
471,green bell pepper,bell pepper
472,red bell pepper,bell pepper
473,garlic,garlic
474,white wine,white wine
475,low-sodium chicken broth (more to taste),chicken
476,heavy cream,cream
477,parmesan cheese,parmesan
478,tomatoes,tomatoes
479,minced parsley,parsley
480,fettuccine,fettuccine
481,garlic cloves,cloves
482,finely grated peeled ginger,ginger
483,ground turmeric,turmeric
484,garam masala,garam masala
485,ground coriander,coriander
486,ground cumin,cumin
487,whole-milk yogurt (not greek),yogurt
488,kosher salt,salt
489,skinless,skinless
490,ghee (clarified butter) or vegetable oil,clarified butter
491,small onion,onion
492,tomato paste,tomato
493,cardamom pods,cardamom
494,dried chiles de árbol or crushed red pepper flakes,red pepper
495,-ounce peeled tomatoes,tomatoes
496,heavy cream,cream
497,chopped fresh cilantro plus sprigs for garnish,chopped fresh cilantro plus sprigs for garnish
498,steamed basmati rice (for serving),rice
499,lb. beef tenderloin inches long (the thick end of a tenderloin),beef
500,strips thick pepper bacon,pepper
501,small onion,onion
502,garlic,garlic
503,sprigs fresh rosemary,rosemary
504,beef stock,beef stock
505,balsamic vinegar,balsamic vinegar
506,tb. dijon mustard,dijon mustard
507,tb. sugar,sugar
508,tb. four,tb. four
509,salt and pepper,pepper
510,cake,cake
511,sugar,sugar
512,vegetable oil,vegetable oil
513,eggs,eggs
514,all-purpose flour,all-purpose flour
515,baking powder,baking powder
516,baking soda,soda
517,ground cinnamon,cinnamon
518,salt,salt
519,grated carrots,carrots
520,butter,butter
521,icing,icing
522,butter,butter
523,ounce) cream cheese,cheese
524,powdered sugar,sugar
525,vanilla,vanilla
526,pecans,pecans
527,butter,butter
528,sugar,sugar
529,eggs,eggs
530,musselman's apple butter,butter
531,oz. porter or stout beer (dark),stout
532,tb. molasses,molasses
533,all purpose flour,flour
534,tb. baking powder,baking powder
535,tsp. salt,salt
536,ground beef (i used ground round),beef
537,olive oil,olive oil
538,large yellow onions,onions
539,green bell pepper,bell pepper
540,garlic,garlic
541,white wine (or low sodium beef broth if you prefer),white wine
542,crushed tomatoes,tomatoes
543,ounce) crushed tomatoes,tomatoes
544,(small -ounce) tomato paste,tomato
545,jar good storebought marinara sauce (can use another jar if you like the sauce to be more saucy than meaty),marinara
546,ground oregano,oregano
547,ground thyme,thyme
548,bay leaves,bay leaves
549,sugar,sugar
550,kosher salt,salt
551,crushed red pepper (optional),red pepper
552,finely minced fresh parsley (or parsley flakes),parsley
553,rind from one wedge parmesan (optional),parmesan
554,grated parmesan cheese (optional),parmesan
555,spaghetti,spaghetti
556,extra minced parsley,parsley
557,extra parmesan cheese,parmesan
558,frozen strawberries,strawberries
559,milk (any variety),milk
560,strawberry jam,strawberry
561,leftover spaghetti sauce,spaghetti
562,thick slices of garlic bread (either storebought or homemade),garlic bread
563,mozzarella cheese slices,mozzarella
564,minced fresh parsley,parsley
565,kosher salt,salt
566,kirby cucumbers or other small cucumbers,kirby cucumbers or other small cucumbers
567,jalapeños,jalapeños
568,apple cider vinegar,vinegar
569,sugar,sugar
570,ground turmeric,turmeric
571,yellow mustard seeds,mustard seeds
572,celery seeds,celery seeds
573,sticks) butter,butter
574,sugar,sugar
575,eggs,eggs
576,tb. lemon juice,lemon juice
577,zest of lemon,lemon
578,½ all-purpose flour,all-purpose flour
579,tsp. baking soda,soda
580,tsp. salt,salt
581,oz. plain or vanilla,vanilla
582,oz. fresh strawberries,strawberries
583,powdered sugar,sugar
584,rolled oats (not quick oats),rolled oats (not quick oats)
585,butter,butter
586,vegetable or canola oil,canola oil
587,salt,salt
588,brown sugar,brown sugar
589,honey,honey
590,apple juice,apple juice
591,molasses,molasses
592,vanilla extract,vanilla
593,rice krispies,rice krispies
594,wheat germ,wheat germ
595,finely chopped pecans,finely chopped pecans
596,roughly chopped almonds,almonds
597,ounces,ounces
598,sprigs thyme,thyme
599,garlic,garlic
600,bay leaves,bay leaves
601,wide strips lemon zest (removed with a vegetable peeler),lemon
602,fresh lemon juice,lemon juice
603,kosher salt,salt
604,honey,honey
605,black peppercorns,black peppercorns
606,-ounce skinless,-ounce skinless
607,ground beef,beef
608,italian sausage ( a little more is fine!),sausage
609,italian seasoning,italian seasoning
610,slices mozzarella or provolone cheese,mozzarella
611,pepperoni slices,pepperoni slices
612,jarred marinara sauce,marinara
613,grated parmesan cheese,parmesan
614,kaiser rolls or good hamburger buns,hamburger buns
615,eggs,eggs
616,plain greek yogurt,yogurt
617,tb. mayonnaise,mayonnaise
618,tb. harissa (middle eastern chile sauce),harissa
619,tsp. honey,honey
620,tsp. dijon mustard,dijon mustard
621,athens mini fillo shells,athens mini fillo shells
622,tsp. ground sumac (or paprika),paprika
623,tb. fresh mint,mint
624,tb. capers,tb. capers
625,garlic clove,garlic
626,mayonnaise,mayonnaise
627,louisiana-style hot pepper sauce,hot pepper sauce
628,small red onion,red onion
629,jalapeño,jalapeño
630,thinly sliced cabbage,cabbage
631,slices,slices
632,all-purpose flour,all-purpose flour
633,ground black pepper,black pepper
634,kosher salt plus more,salt
635,buttermilk,buttermilk
636,-ounce skinless,-ounce skinless
637,peanut or vegetable oil (for frying),vegetable oil
638,white sandwich rolls,sandwich
639,unsalted butter,butter
640,a deep-fry thermometer,a deep-fry thermometer
641,salted butter,butter
642,ounces,ounces
643,salt,salt
644,nutella,nutella
645,rice krispies,rice krispies
646,miniature marshmallows,marshmallows
647,pecans,pecans
648,ounces,ounces
649,for the pajun (pajeon),for the pajun (pajeon)
650,all-purpose flour,all-purpose flour
651,water,water
652,large egg,egg
653,tsp. sea salt,salt
654,frozen hash browns,frozen hash browns
655,shredded carrots,carrots
656,red bell pepper,bell pepper
657,small zucchini,small zucchini
658,green onions,onions
659,pepper to taste,pepper
660,vegetable oil for cooking,vegetable oil
661,for the dipping sauce,sauce
662,low-sodium soy sauce,soy sauce
663,water,water
664,tb. rice vinegar,vinegar
665,tb. sugar,sugar
666,tb. sesame oil,sesame oil
667,minced garlic,garlic
668,tsp. sesame seeds,sesame seeds
669,tsp. crushed red pepper,red pepper
670,butter,butter
671,garlic,garlic
672,bags baby spinach,spinach
673,artichoke hearts,artichoke
674,flour,flour
675,milk,milk
676,cayenne pepper,cayenne pepper
677,salt and pepper,pepper
678,grated parmesan cheese,parmesan
679,mozzarella or monterey jack cheese,monterey jack
680,low sodium chicken broth (less or more),chicken
681,ounces,ounces
682,seasoned panko breadcrumbs,breadcrumbs
683,crushed red pepper,red pepper
684,fresh basil leaves,basil
685,grated parmesan cheese,parmesan
686,pine nuts,pine nuts
687,garlic,garlic
688,salt and pepper,pepper
689,extra virgin olive oil,olive oil
690,heavy cream,cream
691,butter,butter
692,grated parmesan (additional),parmesan
693,ounces,ounces
694,tomatoes,tomatoes
695,hot water,water
696,packet dry active yeast,yeast
697,tsp. honey,honey
698,cold water,water
699,tb. olive oil + extra for the bowl and pan,olive oil
700,tsp. celtic sea salt,salt
701,tb. roasted garlic,garlic
702,all-purpose flour,all-purpose flour
703,pitted kalamata olives,kalamata olives
704,salt and pepper,pepper
705,(packed) light brown sugar,brown sugar
706,golden raisins,raisins
707,red wine vinegar,red wine vinegar
708,finely chopped crystallized ginger,ginger
709,drained capers,drained capers
710,of crushed red pepper flakes,red pepper
711,of freshly ground black pepper,black pepper
712,rhubarb,rhubarb
713,unsalted butter,butter
714,sugar,sugar
715,pure vanilla extract,vanilla
716,crushed potato chips,potato
717,all-purpose flour,all-purpose flour
718,oz. chopped chocolate,chocolate
719,garlic,garlic
720,medium onion,onion
721,ounce) cans great norther beans,ounce) cans great norther beans
722,olive oil,olive oil
723,red pepper flakes,red pepper
724,dried oregano,oregano
725,tomato paste,tomato
726,dry white wine,white wine
727,ounces) or diced tomatoes,tomatoes
728,low sodium chicken broth,chicken
729,kale (more if desired),kale (more if desired)
730,plenty of torn fresh basil,basil
731,butter,butter
732,raw shrimp,raw shrimp
733,chopped fresh parsley,parsley
734,fresh parmesan shavings,parmesan
735,sweet potatoes (about pounds),potatoes
736,vegetable oil,vegetable oil
737,kosher salt,salt
738,mayonnaise,mayonnaise
739,finely grated lime zest,lime
740,fresh lime juice,lime juice
741,chopped fresh cilantro (for serving),chopped fresh cilantro (for serving)
742,everything bagels,bagels
743,butter,butter
744,ounces,ounces
745,pesto (basil or sun-dried tomato),sun-dried tomato
746,ground turkey,turkey
747,kosher salt (more to taste),salt
748,plenty of black pepper,black pepper
749,worcestershire sauce,worcestershire sauce
750,hot sauce (more to taste),sauce
751,egg yolk (optional),egg
752,canola oil,canola oil
753,butter,butter
754,roma tomatoes,tomatoes
755,avocados,avocados
756,large basil leaves,basil
757,yukon gold potatoes ),potatoes
758,kosher salt plus more,salt
759,olive oil,olive oil
760,medium onion,onion
761,large eggs,eggs
762,russet potatoes,potatoes
763,vegetable or peanut oil for frying,peanut
764,sea salt,salt
765,- small of jello (green and purple),green
766,oz. of large pearl tapioca,tapioca
767,gummy worms,gummy worms
768,plastic or candy spiders (if plastic,candy
769,olive oil,olive oil
770,brown mustard seeds,mustard seeds
771,large shallots,shallots
772,kosher salt,salt
773,brussels sprouts,brussels sprouts
774,fresh lemon juice,lemon juice
775,walnuts,walnuts
776,ounces,ounces
777,apples,apples
778,pecan halves,pecan
779,dried cherries,cherries
780,ounces,ounces
781,(heaping) dijon mustard,dijon mustard
782,maple syrup (more to taste),maple syrup
783,apple cider vinegar (more to taste),vinegar
784,olive oil,olive oil
785,salt and pepper,pepper
786,soba (japanese-style) noodles,noodles
787,kosher salt,salt
788,vegetable oil,vegetable oil
789,scallions,scallions
790,jalapeño,jalapeño
791,""" piece of ginger",ginger
792,manila clams,clams
793,dry sake,sake
794,soba noodles are available at asian markets and in the asian foods section of most supermarkets.,noodles
795,lb. turkey,turkey
796,cooking oil,oil
797,bottle butterball garlic and herb turkey marinade,turkey
798,butterball garlic and herb turkey seasoning,turkey
799,large scallops,scallops
800,bacon,bacon
801,butter,butter
802,chili powder,chili powder
803,of cayenne,of cayenne
804,finely chopped fresh cilantro,finely chopped fresh cilantro
805,olive oil,olive oil
806,ground cumin,cumin
807,paprika,paprika
808,kosher salt,salt
809,juice of lime,juice
810,small garlic clove,garlic
811,-oz. mahi-mahi fillets,-oz. mahi-mahi fillets
812,large crisp apples,apples
813,belgian endive,endive
814,scallion,scallion
815,dried cherries,cherries
816,pomegranate arils,pomegranate
817,toasted pecan pieces,pecan
818,chopped crystallized ginger,ginger
819,light mayonnaise,mayonnaise
820,meyer lemon,lemon
821,tsp. honey,honey
822,tb. fresh thyme leaves,thyme
823,salt and pepper,pepper
824,lettuce or cabbage leaves to serve,cabbage
825,shortening (may substitute butter),butter
826,sugar,sugar
827,orange zest,orange
828,vanilla,vanilla
829,eggs,eggs
830,milk,milk
831,all-purpose flour,all-purpose flour
832,baking powder,baking powder
833,salt,salt
834,jars each) marshmallow creme,marshmallow
835,each) cream cheese,cheese
836,peaches,peaches
837,kiwi fruit,kiwi fruit
838,blueberries,blueberries
839,pears,pears
840,raspberries,raspberries
841,other fruit optional,fruit
842,black rice (preferably lotus foods forbidden rice),rice
843,kosher salt,salt
844,chopped dried apricots (preferably california apricots),apricots
845,chopped toasted almonds,almonds
846,200ml fl mayonnaise,mayonnaise
847,capers,capers
848,gherkins,gherkins
849,small shallot,shallot
850,squeeze of lemon juice,lemon juice
851,chopped fresh parsley,parsley
852,flaked sea salt and freshly ground black pepper,black pepper
853,baguette,baguette
854,oz. brie,brie
855,golden raisins,raisins
856,(about cup) toasted pine nuts,pine nuts
857,basil,basil
858,zest of lemon,lemon
859,salt and pepper,pepper
860,small shallot,shallot
861,anchovy fillet packed in oil,anchovy
862,olive oil,olive oil
863,sherry vinegar,vinegar
864,dijon mustard,dijon mustard
865,kosher salt,salt
866,of freshly ground black pepper,black pepper
867,head escarole,head escarole
868,chopped toasted almonds,almonds
869,eggs,eggs
870,and half (or milk,milk
871,salt and pepper,pepper
872,minced fresh oregano (or parsley,parsley
873,crusty french or italian bread,bread
874,breakfast sausage patties,sausage
875,(large) regular kale,(large) regular kale
876,olive oil,olive oil
877,ounces,ounces
878,grated monterey jack cheese,monterey jack
879,oranges,oranges
880,100g ½oz raisins,raisins
881,a lemon,lemon
882,200g unsalted butter,butter
883,100g ½oz golden syrup,golden syrup
884,100g ½oz soft brown sugar,brown sugar
885,rum,rum
886,250g jumbo oats,250g jumbo oats
887,100g ½oz plain flour,flour
888,100g ½oz pine nuts,pine nuts
889,olive oil,olive oil
890,medium carrots,carrots
891,medium celery root,celery
892,medium onion,onion
893,kosher salt plus more for seasoning,salt
894,french green lentils,lentils
895,-oz. fillets wild sockeye salmon with skin,salmon
896,kosher salt,salt
897,olive oil,olive oil
898,french green lentils are available at specialty foods stores and some supermarkets.,lentils
899,80g ¾oz fresh coriander,coriander
900,20g/¾oz fresh mint,mint
901,garlic,garlic
902,cm in piece fresh ginger,ginger
903,small onion,onion
904,green chillies,chillies
905,raw pistachio,pistachio
906,lemon juice,lemon juice
907,,
908,water,water
909,canola oil,canola oil
910,butter,butter
911,stew meat or diced chuck roast,meat
912,ounces) chipotle peppers in adobo sauce,chipotle
913,low-sodium beef broth,beef
914,minced garlic,garlic
915,cumin,cumin
916,chili powder,chili powder
917,onion,onion
918,red bell pepper,bell pepper
919,chilies (any variety,chilies (any variety
920,stone ground grits,stone ground grits
921,low sodium chicken (or beef) broth,chicken
922,water,water
923,half-and-half,half-and-half
924,grated cheddar cheese,cheddar cheese
925,garlic clove,garlic
926,tahini (sesame seed paste),tahini (sesame seed paste)
927,fresh lemon juice,lemon juice
928,kosher salt,salt
929,smoked paprika,paprika
930,tomatoes,tomatoes
931,medium onions,onions
932,garlic,garlic
933,225ml fl olive oil,olive oil
934,large bouquet garni,large bouquet garni
935,star anise,anise
936,,
937,tomato ketchup,tomato ketchup
938,heaped coriander seeds,coriander seeds
939,saffron,saffron
940,few drops worcestershire sauce,worcestershire sauce
941,55ml fl sherry vinegar,vinegar
942,a little finely grated lemon,lemon
943,oz. red candy melts,candy
944,pink candy melts,candy
945,tsp. strawberry or cherry extract,strawberry
946,oz. good chocolate,chocolate
947,salted cashews,salted cashews
948,dried cherries,cherries
949,valentine sprinkles,valentine sprinkles
950,75ml fl double cream,double cream
951,75ml fl milk,milk
952,free-range egg yolks,egg
953,25g caster sugar,caster sugar
954,250g ready-made puff pastry,puff pastry
955,250g strawberries,strawberries
956,free-range egg,egg
